,id,HW1,HW2,HW3,HW4,Dep,Grd,HW6,HW7,HW8,HW9,Class_Quiz_1,Class_Quiz_2,Class_Quiz_3,Lab_Quiz_1,Lab_Quiz_2,Class_Midterm,Lab_Midterm
85,85,77.0C,104.0,100.0,109.0,CSIE,1,110.0,94.0,110.0,94.0,104.0,61.0,91.0,103.0,105.0,84.0,73.0
86,86,94.0,102.0,110.0,102.0,CSIE,1,109.0,98.0,100.0,103.0,81.0,92.0,89.0,101.0,95.0,42.0,77.0
87,87,110.0,72.0,110.0,100.0,CSIE,1,105.0,10.0,96.0,94.0a,71.0,82.0,66.0,92.0,106.0,97.0!,98.0
88,88,99.0,107.0,110.0,102.0,CSIE,1,110.0,104.0,101.0,85.0,83.0,60.0,70.0,104.0,46.0,87.0,66.0
89,89,93.0,109.0,102.0,104.0,CSIE,1,103.0,95.0,110.0,105.0,106.0,67.0,103.0,106.0,92.0,98.0,93.0
90,90,110.0,85.0,47.0,110.0,CSIE,1,110.0,85.0,99.0,91.0,54.0,59.0,50.0,95.0,78.0,47.0,87.0
91,91,102.0,79.0,60.0,105.0,CSIE,1,100.0,110.0,110.0,107.0,76.0,82.0,101.0,101.0,93.0,99.0,98.0
92,92,109.0,110.0,107.5,81.0,CSIE,1,104.0,110.0,110.0,110.0,77.0,102.0,87.5,101.0,8.0,93.0,84.0
93,93,105.0,99.0,104.0,103.0N,CSIE,1,96.0,107.0,87.0,110.0,79.0@,49.0,79.0,91.0,0.0,55.0,59.0
94,94,110.0,100.0,105.0,103.0,CSIE,1,110.0,109.0,109.0,110.0,96.0,92.0,89.5,93.0,100.0,82.0,71.0
95,95,84.0,92.0,110.0,83.0,CSIE,1,87.0,110.0,104.0,88.0,62.0,56.0,103.0,100.0,107.0,56.0,68.0
96,96,91.0,78.0,103.0,110.0,CSIE,1,103.0,46.0,108.0,56.0,67.0,39.0,95.0,108.0,65.0,83.0,50.0
97,97,104.0,105.0,106.0,110.0,CSIE,1,101.0,100.0,110.0,94.0,65.0,78.0,103.0,95.0,104.0,80.0,87.0
