[START]
(1137, 56)
(1137, 62)
(1137, 70)
(1137, 80)
(1137, 90)
(1138, 101)
(1139, 112)
(1139, 123)
(1140, 134)
(1141, 145)
(1141, 154)
(1141, 161)
(1141, 165)
(1141, 167)
(1140, 166)
[END]
[START]
(1145, 68)
(1149, 66)
(1154, 64)
(1162, 63)
(1169, 63)
(1177, 64)
(1183, 66)
(1188, 69)
(1191, 73)
(1194, 78)
(1194, 83)
(1194, 88)
(1191, 94)
(1187, 99)
(1182, 104)
(1176, 108)
(1170, 111)
(1163, 112)
(1157, 114)
(1148, 115)
[END]
[START]
(1153, 115)
(1159, 116)
(1163, 119)
(1168, 122)
(1175, 128)
(1183, 134)
(1191, 140)
(1198, 146)
(1205, 151)
(1211, 156)
(1219, 161)
[END]
