secid,date,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,optionid,index_flag,issuer,exercise_style
108105,20200908,20201005,,P,4000000,656.6,677.3,0,135893970,1,CBOE S&P 500 INDEX,E
108105,20200908,20201005,,P,4100000,758.9,774.6,0,135893971,1,CBOE S&P 500 INDEX,E
108105,20200908,20201005,,P,4200000,857.6,874,0,135893972,1,CBOE S&P 500 INDEX,E
108105,20200908,20201005,,P,4300000,957.5,973.9,0,135893973,1,CBOE S&P 500 INDEX,E
108105,20200908,20201005,,P,4400000,1058.4,1074,0,135893974,1,CBOE S&P 500 INDEX,E
108105,20200908,20201005,,P,4500000,1157.4,1173.8,0,135893975,1,CBOE S&P 500 INDEX,E
108105,20200908,20201005,,P,4600000,1257.4,1273.7,0,135893976,1,CBOE S&P 500 INDEX,E
108105,20200908,20201005,,P,4700000,1357.5,1373.9,0,135893977,1,CBOE S&P 500 INDEX,E
108105,20200908,20201005,,P,4800000,1457.3,1473.6,0,135893978,1,CBOE S&P 500 INDEX,E
108105,20200908,20201005,,P,4900000,1557.2,1573.6,0,135893979,1,CBOE S&P 500 INDEX,E
108105,20200908,20201005,,P,5000000,1658.1,1673.7,0,135893980,1,CBOE S&P 500 INDEX,E
108105,20200908,20201005,,P,5100000,1757.3,1773.7,0,135893981,1,CBOE S&P 500 INDEX,E
108105,20200908,20201005,,P,5200000,1857.1,1873.5,0,135893982,1,CBOE S&P 500 INDEX,E
108105,20200908,20201005,,P,5300000,1957.1,1973.4,0,135893983,1,CBOE S&P 500 INDEX,E
108105,20200908,20201005,,P,900000,0,0.2,0,135893984,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,1000000,2321.9,2344.8,0,135904069,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,1100000,2221.9,2244.8,0,135904070,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,1200000,2122,2144.9,0,135904071,1,CBOE S&P 500 INDEX,E
