 
                                                                                                                                                                                                                                                                
 
                                                          exercise_    index_                   last_                            best_              strike_
 optionid          issuer              date    cp_flag      style       flag       exdate        date     secid    best_bid      offer    volume     price
134227890    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200626    108105     1173.80    1178.10         0    2160000
134227891    CBOE S&P 500 INDEX    20200908       C           E          1       20200918           .    108105     1163.90    1168.10         0    2170000
129372831    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200820    108105     1158.90    1163.10         0    2175000
134227892    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200608    108105     1153.90    1158.10         0    2180000
134227893    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200608    108105     1143.90    1147.80         0    2190000
129372832    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200820    108105     1133.90    1137.80         0    2200000
134227894    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200608    108105     1123.80    1127.70         0    2210000
134227895    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200610    108105     1113.90    1118.20         0    2220000
129372833    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200701    108105     1108.90    1113.20         0    2225000
134227896    CBOE S&P 500 INDEX    20200908       C           E          1       20200918           .    108105     1103.90    1108.20         0    2230000
134227897    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200604    108105     1093.90    1098.20         0    2240000
129372834    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200624    108105     1084.00    1088.20         0    2250000
134227898    CBOE S&P 500 INDEX    20200908       C           E          1       20200918           .    108105     1074.00    1078.20         0    2260000
134227899    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200616    108105     1064.00    1067.90         0    2270000
129372835    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200901    108105     1059.00    1062.90         0    2275000
134227900    CBOE S&P 500 INDEX    20200908       C           E          1       20200918           .    108105     1053.80    1057.70         0    2280000
134227901    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200715    108105     1044.00    1047.90         0    2290000
129372836    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200902    108105     1033.90    1037.80         0    2300000
134227902    CBOE S&P 500 INDEX    20200908       C           E          1       20200918           .    108105     1024.00    1028.30         0    2310000
134227903    CBOE S&P 500 INDEX    20200908       C           E          1       20200918           .    108105     1014.00    1018.30         0    2320000
