[START]
(1088, 50)
(1085, 59)
(1082, 70)
(1079, 84)
(1075, 98)
(1070, 111)
(1066, 124)
(1062, 136)
(1059, 146)
(1056, 154)
(1055, 159)
(1055, 161)
(1055, 162)
(1055, 161)
(1056, 159)
(1057, 156)
[END]
[START]
(1095, 60)
(1096, 67)
(1098, 75)
(1101, 85)
(1104, 96)
(1107, 107)
(1110, 118)
(1114, 128)
(1116, 137)
(1119, 145)
(1121, 150)
(1123, 154)
(1124, 156)
(1125, 157)
(1127, 157)
(1128, 157)
(1129, 155)
[END]
[START]
(1161, 51)
(1158, 60)
(1155, 68)
(1151, 79)
(1146, 91)
(1141, 103)
(1137, 114)
(1133, 124)
(1130, 135)
(1128, 143)
(1126, 149)
(1125, 152)
(1125, 153)
(1125, 152)
(1126, 151)
(1127, 148)
[END]
[START]
(1160, 45)
(1163, 50)
(1166, 56)
(1170, 65)
(1175, 76)
(1180, 88)
(1184, 100)
(1188, 110)
(1192, 120)
(1195, 128)
(1198, 134)
(1200, 139)
(1201, 141)
(1202, 144)
(1203, 147)
[END]
