[START]
(317, 114)
(316, 117)
(315, 120)
(312, 127)
(310, 132)
(307, 140)
(302, 150)
(299, 159)
(294, 172)
(288, 187)
(281, 203)
(275, 219)
(268, 239)
(262, 258)
(255, 279)
(249, 301)
(243, 324)
(236, 343)
(231, 360)
(227, 373)
(224, 386)
(221, 398)
(221, 407)
(221, 412)
(221, 408)
(223, 402)
[END]
[START]
(327, 115)
(327, 120)
(327, 127)
(327, 137)
(327, 147)
(327, 155)
(327, 170)
(329, 185)
(331, 204)
(335, 225)
(339, 247)
(342, 268)
(346, 289)
(349, 309)
(353, 328)
(357, 346)
(360, 364)
(363, 380)
(366, 393)
(368, 404)
(370, 411)
(371, 415)
(372, 418)
[END]
[START]
(218, 320)
(222, 318)
(229, 316)
(238, 315)
(249, 314)
(258, 314)
(275, 312)
(294, 310)
(315, 308)
(335, 306)
(353, 305)
(368, 303)
(383, 301)
(395, 299)
(405, 299)
(408, 298)
(410, 297)
[END]
